Skills,Recommendee_ID,Average_Skill_Similarity
"['Microsoft Excel, Microsoft Word, and Microsoft Outlook']",123,0.8798660635948181
['Relationship building and networking'],124,0.9206289649009705
['Strategic/Operational Business & Financial Planning Quick and fervent learner Multi-Site Operations & Productivity Enhancement Team building'],125,0.8718239665031433
"['Excellent communication skills, Investigative skill, Customer Service skills, Data Entry, documentation, inventory clerk, leadership skills,']",126,0.8862120509147644
"['accounting, CPA, local area network, Peachtree Accounting, Reporting, Web site']",127,0.8985457420349121
"['10 key, account management, ATM, balance, billing, call center, cash management, hardware, CPR certified, client, clients, customer satisfaction,']",128,0.877427339553833
"['Accounts receivables, Accounts Payable, AP, Arabic, Bank reconciliation, Book, Cash flow, English, ERP, ERP 9, Finance, Fixed Asset register,']",129,0.8846768736839294
"['Excellent interpersonal, HR and administrative skills']",13,0.8820329904556274
"['budget, closing, competitive, concept, Council, client, clients, customer service, delivery, drivers, e-commerce, focus, HR, leadership, marketing,']",130,0.8754143714904785
['Work History'],131,0.9666890501976013
"['Premier, streamline, book, business plan, communication skills, concise, data analysis, data collection, decision support, delivery, designing,']",132,0.0
['Secret Security Clearance'],133,0.9439337849617004
"['Â Conflict resolution, advocacy, group facilitation, program development, youth advocacy, outreach, Microsoft Office, training, counseling,']",134,0.8738703727722168
['Strategic Planning/Management'],135,0.920130729675293
"['benefits, budget, client, delivery, hiring, HRIS, Human Resource, HR, Insurance, Leadership, People Management, Managerial, Managing,']",136,0.8718605041503906
['Creative problem solving skills.'],137,0.9109518527984619
,138,0.0
,139,0.0
['I am a very organized person with a professional and positive attitude. I am great at keeping an open dialogue and making myself easily'],14,0.8486965894699097
['Extensive customer service'],140,0.9152759909629822
"['Active Directory, streamline, ADP, antivirus, Budget planning, cabling, Cat 5, Cisco, Communication Skills, hardware, data processing, data']",141,0.0
"['administrative, administrative support, benefits, C, cash handling, closing, coaching, com, Interpersonal Skills, Council, customer service, Customer']",142,0.8677082061767578
"['ACCPAC Plus, ADP, Aggreso, Business Works,']",143,0.92943274974823
"['Adobe CS: Acrobat, InDesign, Illustrator & Photoshop; Dreamweaver']",144,0.8774996995925903
"['Time Management, Effective Communication, Trouble Shooting, Problem Solving, Cloud technology, Skype, Proficient, Microsoft Office Suite,']",145,0.8861189484596252
['Budgeting proficiency'],146,0.9497075080871582
['ERP Implemenations'],147,0.9345232844352722
"['Arts, Assisted Living, CNA, Coaching, Customer Service, Financial, Home Health,Â Nursing, Receiving, Shipping, Web Design and']",148,0.8732302188873291
['On-boarding'],149,0.965660035610199
"['Microsoft Office Suite | Various CRM Systems | Omni | SalesForce | QuickBooks | SLACK,']",15,0.8907312750816345
['Graduate Assistant - Team Lead'],150,0.929050624370575
['Customer Service'],151,0.9505251049995422
['Accounting operations professional'],152,0.9334496855735779
['Analytical skillsÂ'],153,0.9380776286125183
"['Visual Basic .Net, Accounting, photo, advertising, Arabic, budgets, business administration, conferences, databases, English, exhibitions, Fast,']",154,0.8652206659317017
['Fast paced worker'],155,0.9499650597572327
"['accounting, ADP payroll, ad, automate, budgets, budget, client, database, decision making, direction, senior management, senior management,']",156,0.867046594619751
"['Budgets, Logistics, Basis, Budget, Contracts, Drivers, Invoices, Maintenance, Operations, Payroll, Satisfaction, Translated, Accounting,']",157,0.8799929618835449
"['Accounting, Accounts To, Basis, Billing, Customer Inquiries, Customer Service, Inventory, Invoices, Invoicing, Payments, Receptionist, Retail']",158,0.8767353892326355
"['Word processing programs, Photoshop, Mac and Windows proficient']",159,0.9019984602928162
['Phlebotomy knowledge'],16,0.9193363785743713
"['Sales Software: Salesforce.com, TapScan']",160,0.9288109540939331
['Self-motivated'],161,0.9434040784835815
"['Academic, Acrobat, Adobe, Photoshop, Business Planning, Coach, contract negotiations, driving, Endocrinology, English, financial, Illustrator,']",162,0.8743826150894165
,163,0.0
['Strategic Planning'],164,0.945603609085083
"['Account Management, Key Account Selling, Product Expertise, OR selling Training, Budget, Business Plans, Educational Programs, Market']",165,0.8968591690063477
"['AR, Ask, billing, cash register, Computer Networking, CPT, client, clients, customer service, diagnosis, email, faxes, filing, forms, ICD-10, ICD-']",166,0.876858651638031
"['academic, Arts, Art, coaching, CA, content, CSU, English, FileMaker Pro, focus, instruction, Instructor, Mac, materials, Math, Mathematics,']",167,0.8547525405883789
"['Business Management, human resources management, Operations Management, Strategic Analysis']",168,0.8873580694198608
"['Platforms:Â  Windows 2000, 2003 Server and Professional, Windows XP (ProÂ  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â and Home), Win 3.11/95/98,']",169,0.8067628145217896
"['Accounting, general accounting, accounts payable, accounts receivable, Auditing, budgets, budget, contracts, controller, CPA, Financial,']",17,0.8701229691505432
"['DOMS applications, AS/400, Microsoft applications, outlook, Lync']",170,0.9075853228569031
"['ACT!, Advertising, Arts, Computer Experience, Customer Service Training, Mac, Access, Outlook, PowerPoint, Publisher, Word, Research,']",171,0.8603658676147461
"['Administrative Support, Anti-Virus, billing, budget, oral communication, conferences, clients, customer satisfaction, databases, documentation,']",172,0.8816505670547485
['Educational Leadership'],173,0.9521582722663879
['Â'],174,0.9787646532058716
,175,0.0
"['account management, Agency, benefits, Billing, Cisco, Coach, Coaching, com, Counseling, Client, client relations, customer relations, Customer']",176,0.8546835780143738
"['Accounting, E-Commerce, financial, financial statements, funds, gross profit, Insurance, inventory, market, MAS 90, Medical Billing, money, MS']",177,0.898307740688324
['Strong interpersonal skills'],178,0.9376115202903748
"['Adobe Acrobat, Benefits, Blueprint, budget planning, business case, C, Coach, coaching, Council, Client, clients, data analysis, Data Collection,']",179,0.8711303472518921
['Â·Able to research and familiarize skill sets towards core technologies'],18,0.8985757827758789
['New employee orientations'],180,0.9341295957565308
"['Income Statement, Balance Sheet, Budget expense vs. Actual Expense, when necessary prepare Income Statements for Special Events']",181,0.8668323755264282
"['Administrative, Analyst, Army, Agency, cable, cabling, Cat5, documentation, Engineer, engineering support, financial, Functional, Government,']",182,0.87559574842453
['Recruiting'],183,0.9538620710372925
"['administrative, administrative duties, agency, case management, client, clients, customer satisfaction, database, Fluent in English, English, Farsi,']",184,0.8775207996368408
['Enthusiastic people person.'],185,0.9278481006622314
"['accounts payable, accounts receivable, benefits, benefits administration, billing, budgets, budget, coaching, contracts, Council, client, clients, DC,']",186,0.8702292442321777
"['accounting, accounts payable, Banking, business development, cash management, Commercial Lending, communication skills, credit, credit']",187,0.8743760585784912
['Work History'],188,0.0
"['Excellent people and self-management techniques, Excellent Client or Business partner relations, Excellent Written and Oral communication']",189,0.8730781078338623
['NMLS # 1796859'],19,0.9371889233589172
"['Assistant Manager, banking, counseling, clients, hiring, HR, marketing, MS Excel, Office, MS Outlook, MS PowerPoint, MS Word, negotiations,']",190,0.8442152738571167
['Budget Control & Administration'],191,0.9326934218406677
['Networking and Partnership Development'],192,0.9283880591392517
['Accounts Payable'],193,0.9354608058929443
"['QuickBooks, Sage, Lacerte, and Intuit ProSeries (well-rounded on the applications and functions), Microsoft Suite (Word (Advanced), Excel']",194,0.8809648156166077
"['Sales Software: Salesforce.com, TapScan']",195,0.9288109540939331
"['Air Force, Basic, budget, customer service skills, databases, First Aid, government, information technology, inspection, inventory, regulatory']",196,0.0
['Â Builds teams with Humility'],197,0.9399380087852478
"['accounting, accrual, ad, AP, balance sheet, Bloomberg, budgets, budget, Business Intelligence, Business Planning, C, cash flow, clients, database,']",198,0.8779931664466858
,199,0.0
"['basic, Council, English, Instructor, LANGUAGES, Speaker, quality, read, safety, Spanish, supervising']",2,0.8787181377410889
"['administrative, ADP, backup, Benefits, bookkeeping, clarify, competitive, customer service, database, delivery, documentation, employee']",20,0.8737642765045166
['Inventory Specialist'],200,0.9565956592559814
['Customer Service'],201,0.9505251049995422
"['account reconciliation, ad, Agile, automation, banking, basic, billing, bonds, budget, Call Center, cashier, com, CA, hardware, Controller, clients,']",202,0.8726375102996826
['Leadership/communication skills'],203,0.9156226515769958
"['Management, Administrative Support,Â Coach,Â Excellent communication skills, Customer service,Â French,Â Human resources,']",204,0.886938214302063
['Billing and Collections'],205,0.9560149312019348
"['Accounting, Biotechnology, Bloomberg, book, budgeting, commodities, Client, clients, database, drafting, due diligence, equities, equity, senior']",206,0.8786593079566956
['Work History'],207,0.9666890501976013
"['apt, consultant, client, clients, general manager, instruction, inventory, meetings, payroll, policies, progress, purchasing, quality, risk management,']",208,0.8639664053916931
"['accounting, administrative, budget planning, business strategy, cash flow, cash management, competitive, customer satisfaction, finance, financial,']",209,0.8477818369865417
"['ADP, benefits, closing, Coach, coaching, competitive, customer service, database, hiring, HRIS, HR, insurance, logistics, Director, mentoring,']",21,0.8599176406860352
"['.NET 3.5, .NET, ASP .NET 3.5, ASP.NET 2.0, ASP.NET 3.5, AJAX, ASM, Banking, Basic, Business Objects, c, CSS, CSS 2, customer']",210,0.8290031552314758
"['3G, BTS, Central point of contact, hardware, data collection, database, documentation, engineer, senior management, features, FSA, functional,']",211,0.0
"['analytical skills, attention to detail, budgets, excellent communication, concise, Consultant, clients, data entry, database, delivery, Educator,']",212,0.8702219724655151
"['Final Cut Pro proficient, motion, live-type, camera operation, editing.']",213,0.9008702635765076
"['account reconciliations, Accounting, accruals, ad, AS 400, balance sheet, balance sheets, budgets, budget, controller, Corporate Finance, ERP,']",214,0.8788936138153076
['Aderant/CMS'],215,0.951599657535553
['Work History'],216,0.9666890501976013
"['Timberline, MRI, YARDI, Peachtree, Peoplesoft, OneSite, QuickBooks Microsoft Word and Excel']",217,0.8730360269546509
"['academic, photo, Photoshop, Approach, arts, basic, brochures, Canvas, carpentry, Color, Directing, English, Equity, Inspector, Instruction,']",218,0.8703635334968567
"['MS Office (Word, Excel, Outlook and powerpoint) SAP database, Applicant tracking system. * Strong organizational and Adminstrative skills *']",219,0.8570968508720398
"['Microsoft Office: Word, Excel, Power Point, Outlook * Programs: AIMsi, OMS Systems, UPS Worldship and ALICE, Apricot. * Type 40']",22,0.8563347458839417
"['Active Directory, Antivirus, asset management, Backup Exec, budget, business systems, cabling, CISCO, Competitive, Hardware, Consulting,']",220,0.885863721370697
"['accounting, bridges, budgets, budget, oral, community health, conferences, Critical Thinking, data processing, database, database management,']",221,0.8796830177307129
"['Academic, Accounting, administrative, balance, Biology, Business Development, Business Law, Chemistry, interpersonal, CA, consulting,']",222,0.8633362054824829
['Accountability'],223,0.957367479801178
"['academic, approach, Arts, art, balance, basic, oral, special events, instruction, Leadership, Math, Mathematics, PowerPoint, Microsoft Word,']",224,0.8641334772109985
['Leadership development'],225,0.9348363876342773
['Work History'],226,0.9666890501976013
"[""years' experience) Security+ (Intermediate, 12 years' experience) Customer Service (Expert, 20+ years' experience) Networking (Intermediate,""]",227,0.861495852470398
"['10 key by touch, Accounting software, Accounts Payable, Accounts Receivable, administrative, AIA, AS400, billing, billings, Controller, draw,']",228,0.8931363224983215
['HR Advisory Services'],229,0.9557421207427979
"['accounting, Analyst, Banking, Bloomberg, Business Process, cash flow, conversion, Credit, credit risk, Client, clients, Derivatives, documentation,drafting, Senior Management, Financial, financial statements, Fixed Income, HP, Investment Banking, ISDA, Legal, Meetings, MS Office Suite,']",23,0.864557147026062
['Microsoft Word'],230,0.9666359424591064
"['CPR, Critical Thinking, Customer Service, Customer Service Skills, Cycle counting, inventory, Inventory Management, Leadership Skills,']",231,0.0
"['computer knowledge, conflict resolution, contracts, clients, customer satisfaction, customer service, electronics, Email, fax, ink, inventory,']",232,0.8724479079246521
"['Customer Service, Payroll, Receptionist, Retail Sales, Statistics, Cash, Induction, Microsoft Project, Ms Project, Training, Adult Learning,']",233,0.8906488418579102
"['approach, Basic, budget, Ca, product development, documentation, fast, functional, hand tools, logistics, materials, Mentor, Excel, Microsoft']",234,0.874222457408905
"['ADP payroll, Attorney, benefits, billing, billings, Ceridian, charts, coaching, competitive, contract negotiations, counseling, employee relations,']",235,0.8797701001167297
"['Proficient in Moodle, Sphere 2 (Video Creation) and']",236,0.9125038385391235
,237,0.0
"['administrative support, ADP, Benefits, coaching, Excellent communication, conflict resolution, conflict resolution, consultation, creative problem']",238,0.8835613131523132
"['Computer skills, including Microsoft Office']",239,0.9254379868507385
,24,0.0
['Excellent telephone manner and high standard of communication skills.'],240,0.8859896659851074
"['Training, Operations, Instructor, Simulation, Liaison, Training Programs, Case Management, Armor, Instructional Training, Testing, Associate,']",241,0.8590744137763977
"['Adobe Acrobat, Analyst, Architect, balance, basic, benefits, budget management, calibration, charts, consulting, contracts, client, data analysis,']",242,0.8684797286987305
['Secret Clearance.'],243,0.9656642079353333
"['Administrative, Consultant, Course Development, Client, DC, delivery, Instructor,']",244,0.888750433921814
"['Employee Relations, Hr, Training, Credit, Solutions, Accountability For, Change Management, Labor Law, Lending, Proactive, Self Motivated,']",245,0.8906354904174805
['Accounting and Financial Reporting'],246,0.9128138422966003
"['ads, advertising, book, Brochure, cash register, content, credit, client, clients, customer service experience, direction, Email, event planning,']",247,0.874846339225769
"['Army, clerical, good communication skills, hardware, Computer Knowledge, contracts, excellent customer service, customer service, Customer']",248,0.8704829812049866
"['Administrative, ambulance, Basic, CPR Certified, first aid, inventory, life support, Logistics, Microsoft Office, Office, Personnel, Fast learner,']",249,0.8770453333854675
"['acquisitions, CMS, content, contract negotiations, contracts, Contract Management, clients, database, directing, documentation, estimating,']",25,0.8820708990097046
['DNA/RNA Sequencing'],250,0.9294728636741638
"['APM, administrative, administrative support, Streamline, Anatomy, agency, Behavioral Health, billing, budgets, Business Objects, Call Center,']",251,0.8935795426368713
"['Accounting, Adobe, ADR, Analyst, Auditing, billing, budget development, budgets, charts, contracts, CPT, Crystal Reports, customer satisfaction,']",252,0.8838186264038086
"['Fiber Optics Repair Technical Skill Set * Formal Training: Learjet 24, Piper Cherokee, AeroCommander 520, and Cessna 310 Airframe and']",253,0.884202241897583
['very friendly and patient especially for animals'],254,0.9019995331764221
['Self-motivated'],255,0.9434040784835815
"['account reconciliations, accounting, accounts payable, Accounts Receivable, AP, Balance sheet, Bank Reconciliation, Banking, Billing, book,']",256,0.8780272006988525
"['Programming Language: C/C++, Python, MATLAB, SQL, R, LUA, VBA']",257,0.8361764550209045
"['Reconcile various general ledger accounts, explain variances and prepare reports for review with departments on a monthly basis.']",258,0.8588172793388367
,259,0.0
"['benefits, budget analysis, budgets, budget, coaching, contract negotiations, documentation, training employees, event planning, special events,']",26,0.8746006488800049
['Customer service expert'],260,0.9327640533447266
"['ACCOUNTING, Accountancy, computerized accounting, Trial Balance, Balance Sheet, Bank']",261,0.9119218587875366
"['accounts payable, administrative support, Benefits, Oral, Counseling, databases, data base, Database, Email, Senior Management, filing, Forms,']",262,0.8776558041572571
,263,0.0
['Excellent interpersonal skills'],264,0.9349616765975952
"['Programming Languages: Java/J2EE, JavaScript, Android, HTML, CSS, SQL, C, C']",265,0.8320853114128113
"['Accounting, general accounting, auditing, balance sheets, billings, budget, closing, contracts, CPA, credit, client, clients, Finance, Financial,']",266,0.8771021366119385
['Skills'],267,0.9609160423278809
['Substantial knowledge of all Microsoft Windows operating'],268,0.9190221428871155
"['Automotive, business operations, calipers, Call center, closing, Strong interpersonal skills, Excellent communication, Strong communication skills,']",269,0.8904320597648621
,27,0.0
"['Accounting, agency, benefits, clientele, client, clients, database, delivery, Department of Health, fax, filing, HR, insurance, marketing plan,']",270,0.8725203275680542
"['streamline, ad, balance sheet, Basic, budgeting, budgets, Budget, business processes, capital expenditures, Cognos, Conferences, contracts,']",271,0.891011118888855
"['Administrative Assistant, attention to detail, banking, benchmarking, Clerical, excellent communication, competitive, Consultant, Customer Service,']",272,0.8757814764976501
['Operating Systems: Windows 10 and below Â'],273,0.9032363891601562
"['arbitration, automation, budgeting, budget, concise, conflict resolution, client, clients, Customer Service, delivery, forecasting, government,']",274,0.8718950152397156
"['Account Management, Accounts Payable/Receivable, Budgeting, Business Development, Client Relations, Cold Calling, Computer Proficient,']",275,0.8927411437034607
"['account reconciliation, Accounting, accounts payable, accruals, streamline, advertising, Arabic, balance sheet, Trial Balance, bank reconciliation,']",276,0.8921659588813782
"['Human Resources, Training, Employee Relations, Recruitment, Organizational Development, Payroll, Purchasing,']",277,0.8580610752105713
"['Java, C+, Python, App development']",278,0.0
['Administrative and organizational skills'],279,0.8995936512947083
"['Customer Service, Receptionist, Retail Sales, Cash, Sales, In Sales, Inventory, Reconciling, Sales Activities, Sales And, Security, Security']",28,0.8794341087341309
,280,0.0
['Project management'],281,0.9666537642478943
['Microsoft AX Dynamics'],282,0.9389262199401855
"['accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi,']",283,0.8755794167518616
"['advertising, arts, attention to detail, auditing, benefits, budget, coaching, contracts, copying, counseling, direct mail, fast, focus, Food Safety,']",284,0.8692365288734436
"['Human Resources (4 years), Microsoft Office (6 years), Community Outreach (3 years), Community Relations (1 year), Sales (7 years),']",285,0.8627956509590149
"['Accounting, accounting system, accounts payable, accounts receivable, acquisitions, benefits, billings, bookkeeping, budget, cash flow, coaching,']",286,0.8582316637039185
,287,0.0
"['Valid and Current Teaching Certification in Florida. Earth-Space Science 6-12, Art K-12, Elementary Education K-5']",288,0.8818212151527405
"['Accounting, accounts payable, Accounts Payable and Receivable, auditing, balance sheet, billing, bookkeeping, Budgets, cash receipts, Closing,']",289,0.8727453351020813
,29,0.0
['4-Handed'],290,0.959632933139801
['LeadershipÂ'],291,0.9562827348709106
['SAPSAP'],292,0.9558520317077637
['Ballet'],293,0.9635990858078003
['Clinical/Administrative Skills'],294,0.9206116795539856
"['blue print reading, blueprints, calibration, CNC, grinders, lathes, machinery, machining, weapons, natural, oil, quality, reading, recording,']",295,0.8805333971977234
['MSOffice:'],296,0.9610459208488464
"['administrative duties, administrative support, ADP, ad, Attention to detail, Basic, benefits, Bi, calendar maintenance, call center, copying, data']",297,0.8841751217842102
"['Accounting, Air Force, Agency, Balance, Banking, budgeting, budget, Call Center, coaching, commercial loans, computer applications, Credit,']",298,0.8871945738792419
['Financial'],299,0.9848626852035522
"['Accounting, approach, AS400, auditing, bank reconciliations, competitive, contracts, CRM, clientele, clients, customer satisfaction, customer']",3,0.8826602697372437
"['Accounting, Accounting Systems, AIA, AS400, Billings, Bluebeam,Bonds, Budgets, Business Management, Clerical, Construction Management,']",30,0.9002276659011841
"['Budgets, budget, business analysis, contracts, Contract Management, Financial, forecasting and financial, financial operations, functional,']",300,0.8874176144599915
"['Accounting, Accountant, Accounts Payable, balance sheet, Budget Planning, CMS, Controller, credit, data mining, senior management, Finance,']",301,0.8780304193496704
"['ADA, administrative, Adobe Illustrator, art, agency, benefits, Ceridian, Change Management, decision-making, DCA, Employee Relations, special']",302,0.8724140524864197
"['accounts payable, administrative, administrative support, A/P, benefits, benefits administration, bookkeeping, clerical, Continuous Improvement,']",303,0.8568055033683777
['BudgetÂ Analsis'],304,0.9418084621429443
"['accounting, ADA, advertising, benefits, Benefits & Administration, bookkeeping, budgeting, Business Law, business research, business startup,']",305,0.8795666694641113
['Applications:'],306,0.9724233746528625
"['P&L Management, Project Management, Communications, Leadership, Finance Operations, Tax, P2P, O2C, Compensation Services, Financial']",307,0.8646873235702515
"['Active Directory, administrative support, attention to detail, auditing, Avaya, business process, business solutions, charts, Cognos, hardware,']",308,0.8744423985481262
"['administrative, budget, contracts, customer service, documentation, expense reports, financial, government, hiring, HR, Office, office']",309,0.864426851272583
"['.NET, ASP.NET, Active Directory, Agile, AJAX, API, Architect, automate, BI, business intelligence, Cascading Style Sheets, excellent']",31,0.8790692687034607
"['Accounting, Sales, Inventory, Payroll, The Accounting, Reconciliations, Bookkeeper, Audits, Operations, Ap, Ar, Assembly, Closings, Contracts,']",310,0.8827969431877136
['Stockroom procedures'],311,0.961693525314331
"['ad, budget, change management, Cisco IOS, Cisco, Cisco Routers, Hardware, contracts, clients, Database, Dell, Dell PowerEdge servers,']",312,0.8688887357711792
"['Excel (Intermediate), Microsoft Word (Intermediate), PowerPoint (Intermediate)']",313,0.8812803626060486
"['Inventory, Database, Excel, Training, Stockroom, Sql, Databases, Sap, Statistics, Operations, Sops, Asset Management, Access, Asp, Asp.net,']",314,0.8688495755195618
['Netsuite; Quickbooks; Cognos Impromptu; JDEdwards; AS400; Sage FAS Fixed Assets; BNA Fixed Assets; BusinessObjects Crystal'],315,0.9121821522712708
"['academic, Accounting, AP/AR, administrative, streamline, AP, AR, budgets, business development, Ceridian, conferences, Consultant, clients,']",316,0.8780013918876648
['Accounting:Â'],317,0.9588509202003479
['Quickbooks. Workamajig. MS Office Suite. InDesign. Photoshop. Concrete5 CMS. Â Google Analytics. GoogleDocs. Intervals. SEO/SEM.'],318,0.8800907135009766
['Professional and friendly. Careful and active listener. Multi-tasking. Careful and active listener.'],319,0.8605087399482727
"['.NET, ACADEMIC, accounting, aims, C, C++, closing, cold calling, contracts, client, data modeling, Database, data warehousing, fast, focus,']",32,0.8609166145324707
"['care planning, Case Management, Home Health, Hospice, Infection control, injections, Nurse Manager, Oncology, scheduling, staff development,']",320,0.8878915309906006
['Team Building'],321,0.9681002497673035
"['ACCOUNTING, A/P, attention to detail, bank reconciliation, INTERPERSONAL, data entry, fashion, Finance, general ledger, leadership,']",322,0.8793411254882812
"['administrative functions, basic, benefits, charts, clerical, CRM, client, clients, firing, focus, forms, insurance, inventory, Issue receipts, Excel,']",323,0.8739079833030701
,324,0.0
"['Have experience working on multiple different POS systems, Microsoft, Excel and other organization sites used for scheduling. Â Also, very']",325,0.8888872861862183
,326,0.0
"['Desktops,']",327,0.9538158178329468
"['Arabic, Back-up, budgets, hardware, client, Database, database management, designing, disaster recovery, documentation, financial, Help Desk,']",328,0.8796628713607788
"['Art Education Curriculum Design and development,']",329,0.9209696650505066
"['Accounting, accounts']",33,0.9468080997467041
['Proven patience and self-discipline'],330,0.8999654650688171
"['ad, advertisements, arts, art, basic, catalogs, community relations, Council, clientele, client, data entry, database, filing, film, first aid, fundraising,']",331,0.8799131512641907
"['accounting, accountant, administrative, Army, Agency, backup, book, budget, Business Administration, cash flow, contracts, DC, documentation,']",332,0.8710017800331116
"['Preparation of monthly data for submission to CPA for Financial Statement Preparation. Accounts Payable which includes vouchering, verifying']",333,0.88796466588974
"['Professional Fitness Trainer (NESTA), TRX Certified Trainer, Kettlebell Certified Trainer, Office Management, Accounting, Scheduling']",334,0.8912029266357422
"['10 key, Account reconciliation, ATM, backup, balance, Banking, bi, Cash management, clerical, coaching, Oral, Customer Service, Data Entry,']",335,0.8880670070648193
"['Health promotion, nutrition counseling, exercise testing & prescription, health and fitness speaker, Microsoft Office (Excel, PowerPoint, Word)']",336,0.8752263784408569
"['accounting, accounting system, customer service, inventory, listening, managerial, managing, multi-tasking, organizational skills, policies, proposals,']",337,0.8694753050804138
['Superb sales professional'],338,0.9395249485969543
"['Asc, Qa, Emr, Pharmacy, Infection Control, Metrics, Risk Management, Satisfaction, Staffing, Trading, Training, Auditing, Instrumentation,']",339,0.8875621557235718
"['big data, C, C++, charts, Circuit design, hardware, Data acquisition, data analyst, data collection, data mining, databases, database, dBm, DTI,']",34,0.857052743434906
['Creative problem solver MS Windows proficient'],340,0.9031622409820557
['High customer service standards'],341,0.9094062447547913
['Analytical reasoning'],342,0.941044270992279
"['benefits, budget, client, delivery, hiring, Human Resource, HR, Insurance, Leadership, People Management, Managerial, Managing, market,']",343,0.8650933504104614
"['cable, Excellent Communication, Interpersonal Skills, competitive, consulting, CPR, customer service, Instructor, ie, Leadership, people']",344,0.8726642727851868
"['Clients, Credit, Investment Banking, Cash, Cash Management, Forecasting, Municipal, Sales, Accounts And, Associate, Credit Analysis,Financial Analysis, Financial Services, Its, Management Sales, Market Share, Mutual Fund, Mutual Funds, Real Estate, Award, Ipo, Business']",345,0.8642094135284424
['Budget forecasting expertise'],346,0.9531468152999878
"['Language: Chinese, English and Japanese']",347,0.8659847378730774
['Decision making'],348,0.940981388092041
"['Accounts payable, Analyst, balance sheet, bank reconciliations, book, budgets, Budget, Business Intelligence, Call Center, Finance, financials,']",349,0.887612521648407
,35,0.0
"['Accounting: Financial Audit, General ledger, AP, Purchasing, Quickbook']",350,0.9029073715209961
['Cash handling.'],351,0.9742813110351562
"['ASP.Net 4.5, ASP.Net, VB.NET, Active Directory, Backup, Budget, Contract negotiation, CRM, Data Analysis, Data Processing, Databases,']",352,0.863496720790863
"['.NET, asp.net, VB.NET, Adabas, ADO, Agile, Application Development, ASP, agency, Banking, banyan, billing, business analysis, Business']",353,0.8658005595207214
"['administrative, administrative support, attention to detail, benefits, Cash handling, com, Critical Care, customer satisfaction, Customer Service,']",354,0.8718131184577942
['AFAA Group Exercise'],355,0.9528835415840149
['Program development and implementation'],356,0.9200616478919983
['Verbal Communication'],357,0.9579123854637146
,358,0.0
"['application development, Lotus Approach, Asset Management, Billing systems, book, budget, Develop business, Business Process Analysis, C,']",359,0.8918285369873047
['Complaint handling and resolution'],36,0.9112614989280701
