File,Skills
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_106\Recommendation_From_ID_511.txt,"['information system', 'project management', 'SEC', 'finance', 'finance', 'finance', 'supervised', 'finance', 'leadership', 'operations', 'budgeting', 'treasury', 'building team', 'enterprise software', 'enterprise software', 'financial reporting', 'managing', 'best practices', 'finance', 'track']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_102\Recommendation_From_ID_818.txt,"['strategic marketing', 'banking', 'professional', 'leadership', 'banking', 'center', 'targets', 'equally', 'banking', 'propelled', 'brokerage', 'professional development', 'manager', 'banking']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_106\Recommendation_From_ID_45.txt,"['financial acumen', 'interpersonal communication', 'project management', 'customer service', 'finance', 'leadership', 'operations', 'operations', 'government', 'budgets', 'audit processes', 'financial reporting', 'professional', 'collaboration', 'finance', 'supported staff', 'adaptability']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_101\Recommendation_From_ID_482.txt,"['problem solve', 'collaborated', 'finance', 'manager', 'track', 'managing', 'operations', 'loans', 'purchases', 'customer relationships', 'sales', 'finance', 'manager', 'sales', 'training programs', 'employee programs', 'finance', 'manager', 'sales', 'communication skills', 'innovative', 'finance', 'manager', 'positively']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_107\Recommendation_From_ID_511.txt,"['financial management', 'financial system', 'financial statement', 'relationship building', 'business process', 'sap erp', 'technical acumen', 'finance', 'position', 'budget', 'english', 'spanish', 'communication', 'finance', 'finance', 'reflecting', 'proactive', 'trajectory']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_102\Recommendation_From_ID_177.txt,"['operational efficiency', 'customer service', 'customer service', 'sales', 'sales', 'banking', 'center', 'customer relationships', 'banking', 'operations', 'leadership', 'sales', 'cultivate', 'manage', 'operations', 'reflects', 'management', 'sales', 'maintaining', 'professionalism', 'leadership', 'sales']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_105\Recommendation_From_ID_621.txt,"['disease management', 'critical thinking', 'reliability testing', 'health education', 'organizational skill', 'healthcare professional', 'medical', 'sleep technologist', 'diagnostic testing', 'interaction', 'interactions', 'preventative healthcare', 'professionalism', 'empathy', 'coordinating', 'collaborating', 'community organizations', 'planning']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_108\Recommendation_From_ID_172.txt,"['project management', 'self regulation', 'personal trainer', 'group fitness instructor', 'leadership', 'communication skills', 'coordinator', 'leadership', 'coordinating', 'operations', 'managing large', 'instruction', 'innovative', 'activities']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_100\Recommendation_From_ID_424.txt,"['project management', 'management', 'leadership', 'community', 'track', 'capital', 'reflect', 'community', 'cultivating', 'industry', 'managing', 'operations', 'position', 'professional', 'innovative', 'management']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_1\Recommendation_From_ID_233.txt,"['project coordination', 'time management', 'relationship building', 'stakeholder engagement', 'analytical skill', 'problem solve', 'person', 'banking', 'operations', 'project coordinator', 'honed', 'communication', 'managing', 'underwriting', 'loan', 'inquiries', 'person', 'communication', 'multitask', 'streamline', 'operations', 'illustrate', 'person']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_107\Recommendation_From_ID_24.txt,"['financial system', 'financial statement', 'general ledger', 'research and development', 'customer service', 'finance', 'finance', 'operations', 'budget', 'integrity', 'collaboration', 'finance', 'enthusiasm', 'bilingual', 'communication', 'finance', 'industry']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_107\Recommendation_From_ID_143.txt,"['financial system', 'general ledger', 'finance', 'manager', 'finance', 'operations', 'finance', 'economics', 'budgeting', 'management', 'finance', 'financial reporting', 'financial reporting', 'finance', 'finance', 'financial integrity', 'position', 'proactive', 'collaborating', 'bilingual', 'communication', 'skills communication', 'customer interaction', 'finance', 'analytical', 'industry']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_104\Recommendation_From_ID_5.txt,"['crisis management', 'geological survey', 'emotional intelligence', 'interdisciplinary collaboration', 'environmental study', 'bilingual', 'geology', 'researcher', 'perspective', 'community', 'resources', 'active', 'analytical', 'data modeling', 'research', 'planning', 'adaptability']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_105\Recommendation_From_ID_587.txt,"['preventive healthcare', 'instructional', 'health management', 'hospital', 'coordinating', 'collaborate', 'healthcare professionals', 'hipaa', 'sensitive information', 'patient care', 'proactive', 'nature', 'leadership', 'positive', 'community', 'position', 'healthcare professional']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_106\Recommendation_From_ID_839.txt,"['financial strategy', 'customer service', 'process improvement', 'finance', 'exhibited', 'leadership', 'finance', 'collaborate', 'finance', 'managed', 'finance', 'budget', 'accounting standards', 'managing', 'team building']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_10\Recommendation_From_ID_955.txt,"['operational excellence', 'client service', 'risk management', 'performance metric', 'service delivery', 'financial service', 'operations manager', 'banking', 'commercial', 'relationship manager', 'relationship manager', 'managing', 'loan', 'closing', 'professionals', 'landscapes', 'collaboration']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_1\Recommendation_From_ID_412.txt,"['critical thinking', 'project management', 'renovations', 'managing', 'banking', 'operation', 'exhibit', 'coordinate', 'patient care', 'banking', 'operations', 'communication skills', 'nurse', 'patient care', 'patient care', 'troubleshooting', 'streamline', 'present', 'management', 'echoes', 'communication', 'person', 'adaptability']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_101\Recommendation_From_ID_882.txt,"['creative problem solve', 'problem solve', 'business development', 'reach', 'seasoned', 'finance', 'manager', 'track', 'sales', 'industry', 'collaborating', 'professional', 'leadership', 'sales', 'innovative', 'brand', 'personally', 'motivating teams', 'operational', 'high level', 'level marketing', 'level marketing', 'position']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_1\Recommendation_From_ID_289.txt,"['customer service', 'analytical skill', 'customer service', 'banking', 'banking', 'operations', 'communication', 'inquiries', 'coordinating', 'mortgage underwriting', 'honed', 'banking', 'coordinator', 'managed operations', 'operations', 'communications', 'collaborative', 'industry', 'improving processes', 'professional', 'industry']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_10\Recommendation_From_ID_481.txt,"['employee relation', 'team management', 'client service', 'employee relation', 'performance management', 'conflict resolution', 'process improvement', 'quality assurance', 'collaborating', 'operations manager', 'business units', 'operations manager', 'operations manager', 'manager effectively', 'innovative', 'proactive', 'onboarding', 'mitigated risks', 'streamlined', 'high performance', 'operational', 'coupled', 'leadership', 'position', 'operations', 'team performance']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_101\Recommendation_From_ID_318.txt,"['financial acumen', 'account management', 'analytical skill', 'decision make', 'finance', 'manager', 'position', 'operational', 'finance', 'finance', 'manager', 'managing financial', 'managing financial', 'operations', 'budgeting', 'collaborative', 'project managers', 'assess project', 'level', 'finance', 'manager', 'streamline', 'integrate financial', 'operations', 'proactive', 'finance', 'manager', 'adaptability']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_106\Recommendation_From_ID_510.txt,"['financial acumen', 'tax return', 'analytical skill', 'tax compliance', 'financial strategy', 'financial analysis', 'tax accountant', 'finance', 'professionals', 'finance', 'treasury', 'functions managing', 'budgets', 'coordinating', 'financial audits', 'leadership', 'management', 'tax accountant', 'consulting', 'finance', 'tax accountant', 'accounting practices', 'collaborated', 'positions', 'finance', 'professional', 'interactions']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_108\Recommendation_From_ID_563.txt,"['professional', 'exercise specialist', 'coordinator', 'community', 'personal trainer', 'group fitness instructor', 'creatively', 'prioritize', 'leadership', 'honed', 'innovative', 'communication skills', 'collaboration', 'programming', 'professional']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_108\Recommendation_From_ID_982.txt,"['facility operation', 'fitness management', 'coordinator', 'managing', 'community', 'supervising', 'operations', 'community', 'successfully planned', 'innovative', 'collaborating', 'personal trainer', 'group fitness instructor', 'operations', 'reflects', 'communication', 'leadership', 'adopt', 'community', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_11\Recommendation_From_ID_586.txt,"['product management', 'acceptance testing', 'project management', 'market research', 'client service', 'project management', 'problem solve', 'analytical', 'banking', 'streamline', 'notch', 'banking', 'proactive', 'collaborative', 'positively']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_109\Recommendation_From_ID_587.txt,"['process improvement', 'accounting software', 'analytical skill', 'financial statement', 'financial statement analysis', 'financial acumen', 'instructional', 'professionalism', 'accountant', 'managing', 'operations', 'collaborating', 'presenting', 'accountant', 'maintaining', 'proactive', 'accounting', 'accountant', 'integrity', 'leadership', 'accounting']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_11\Recommendation_From_ID_970.txt,"['customer service', 'customer satisfaction', 'organizational skill', 'enthusiasm', 'banking', 'relationship specialist', 'relationship specialist', 'credit specialist', 'maintaining', 'honed', 'positive attitude', 'professionalism', 'balancing', 'banking', 'industry', 'adaptive', 'nature', 'communication skills', 'collaborative', 'positively']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_109\Recommendation_From_ID_371.txt,"['information technology', 'military logistic', 'it infrastructure', 'financial management', 'financial statement', 'financial statement analysis', 'internal control', 'reach', 'logistics', 'system administrator', 'professional', 'operations', 'mobility', 'accountant', 'audits', 'collaborated', 'accountant', 'financial reporting', 'communicate', 'system administrator']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_109\Recommendation_From_ID_617.txt,"['financial statement', 'accounting software', 'licensed practical nurse', 'accounting', 'accountant', 'innovative', 'collaboration', 'analytical', 'maintained', 'financial reporting', 'collaborative', 'adaptability']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_110\Recommendation_From_ID_21.txt,"['performance management', 'employee relation', 'employee benefit', 'benefit administration', 'professional', 'human resources', 'management', 'project manager', 'collaborating', 'recruitment processes', 'streamlined', 'onboarding', 'managers', 'communicate', 'innovative', 'onboarding', 'positive', 'work environment']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_112\Recommendation_From_ID_242.txt,"['student engagement', 'program management', 'strategic planning', 'analytical skill', 'professional', 'collaborated', 'manager', 'leadership communication', 'communication skills', 'communication skills', 'positive', 'managing', 'communicated', 'tracking', 'track']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_110\Recommendation_From_ID_503.txt,"['operational efficiency', 'service provider', 'technical support', 'problem solve', 'project management', 'project manager', 'onboarding', 'new hires', 'project manager', 'managing', 'cross functional teams', 'maintaining']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_112\Recommendation_From_ID_459.txt,"['employee relation', 'strategic planning', 'student engagement', 'community development', 'collaborating', 'professional', 'leadership', 'managing', 'communication skills', 'managing', 'sensitive information', 'position', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_112\Recommendation_From_ID_343.txt,"['strategic planning', 'problem solve', 'collaborating', 'professionals', 'leadership', 'management', 'coordinating', 'communication skills', 'cultivating', 'professional', 'adaptability', 'collaborating', 'reinforced', 'community']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_111\Recommendation_From_ID_608.txt,"['vital sign', 'problem solve', 'operational excellence', 'hospital', 'billing', 'patient care', 'living', 'living assistance', 'living assistance', 'maintain', 'billing', 'billing', 'management', 'track', 'receivables', 'healthcare professionals', 'collaboration', 'patient care', 'caregiving']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_114\Recommendation_From_ID_731.txt,"['customer service', 'customer service', 'customer satisfaction', 'customer support', 'customer service', 'sales manager', 'sales skills', 'sales', 'long term', 'innovative', 'communication skills']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_113\Recommendation_From_ID_758.txt,"['analytical skill', 'process improvement', 'operational excellence', 'financial statement', 'financial regulation', 'financial accountant', 'streamlining', 'financial reporting', 'innovative', 'collaborating', 'improve processes', 'communication skills', 'collaborative']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_111\Recommendation_From_ID_555.txt,"['problem solve', 'critical thinking', 'cash flow', 'icd coding', 'CPT', 'hospital', 'billing', 'management', 'position', 'billing', 'receivables', 'proactive', 'maintaining', 'operations', 'manager', 'management', 'collaborate', 'billing', 'athena', 'communication skills', 'positive attitude', 'management', 'management', 'management']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_113\Recommendation_From_ID_829.txt,"['operational excellence', 'accounting system', 'analytical skill', 'financial datum', 'financial statement', 'personal trainer', 'athlete', 'financial accountant', 'innovative', 'financial reporting', 'support decision', 'support decision', 'decision processes', 'collaborate', 'communicate', 'managing accounts']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_113\Recommendation_From_ID_340.txt,"['financial regulation', 'financial statement', 'operational excellence', 'financial accounting', 'financial accountant', 'position', 'bank', 'capital', 'analytical', 'financial reporting', 'managing', 'professional', 'communicated', 'collaborative', 'innovative', 'communication skills']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_114\Recommendation_From_ID_545.txt,"['information technology', 'information technology', 'financial service', 'service sector', 'operational efficiency', 'collaborating', 'managing', 'operations', 'leadership', 'coordinating', 'data center', 'execute', 'teamwork', 'infrastructure', 'managing vendor', 'leadership', 'innovative']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_111\Recommendation_From_ID_605.txt,"['operational excellence', 'analytical skill', 'patient advocacy', 'hospital', 'billing', 'prioritize', 'sourcing', 'onboarding', 'position', 'industry', 'professionalism', 'billing', 'billing', 'management', 'track', 'receivables', 'communication', 'collaborating', 'massive', 'medical', 'center', 'receivables', 'professional', 'industry standards', 'reinforces', 'operational', 'patient care']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_125.txt,"['regulatory requirement', 'operational excellence', 'professional', 'leadership', 'operational', 'logistics manager', 'eye', 'logistical', 'operations', 'collaboration', 'accountability', 'operations', 'logistics', 'maintaining', 'maintain', 'communication skills', 'adaptability', 'reflect', 'professional', 'positively']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_111\Recommendation_From_ID_70.txt,"['problem solve', 'licensed', 'communicator', 'professional', 'hospital', 'billing', 'track', 'manages', 'claim', 'receivables', 'medical', 'center', 'landscape', 'billing', 'nurses', 'interacting', 'collaborative', 'exhibited', 'billing', 'positively', 'patient care', 'billing', 'operations', 'billing', 'billing', 'management']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_114\Recommendation_From_ID_854.txt,"['information technology', 'strategic thinking', 'disaster recovery', 'disaster recovery plan', 'professional', 'leadership', 'managing', 'technology operations', 'infrastructure', 'operational', 'resilience', 'budget', 'management', 'implementing systems', 'yielded', 'visionary', 'operations', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_385.txt,"['strategic marketing', 'special education', 'professional', 'consultant', 'personalized', 'community', 'logistics manager', 'communication', 'teaching', 'leadership', 'position']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_274.txt,"['regulatory requirement', 'reach', 'operations manager', 'los', 'professionals', 'logistics manager', 'track', 'managing logistics', 'positive', 'adapt', 'proactively', 'instrumental', 'leadership', 'communication skills', 'sales', 'work environment', 'logistics manager']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_339.txt,"['patient safety', 'infection control', 'quality improvement', 'risk management', 'operational efficiency', 'nursing', 'leadership', 'logistics manager', 'logistics', 'operations', 'communication', 'collaboration', 'nursing', 'nursing', 'sustained']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_38.txt,"['regulatory requirement', 'operational efficiency', 'electronic system', 'problem solve', 'professional', 'leadership', 'resourcefulness', 'logistics manager', 'effectively managed', 'logistical', 'eye', 'aviation', 'electronics technician', 'translates', 'position', 'troubleshooting', 'managing logistics', 'high levels', 'organization communication', 'adaptability', 'professional']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_870.txt,"['team management', 'team orient', 'manager', 'collaborating', 'logistics', 'logistics manager', 'leadership', 'managing', 'maintaining', 'operational', 'logistical', 'communication skills', 'positive', 'work environment', 'resourcefulness', 'reliability', 'operational']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_216.txt,"['sale management', 'productivity improvement', 'customer service', 'team motivation', 'sale management', 'consultant', 'leadership', 'operational', 'logistics manager', 'effectively managed', 'logistical', 'cultivated', 'scalable', 'operations', 'sales', 'manager', 'sales', 'manager', 'coupled', 'logistical', 'communication skills', 'adaptability', 'operational', 'position', 'reliable', 'sales', 'logistics management']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_308.txt,"['information technology', 'organizational skill', 'regulatory requirement', 'problem solve', 'help desk', 'logistics manager', 'collaborative', 'communicating', 'logistics manager', 'leadership', 'managing', 'professionals', 'interactions', 'logistics manager', 'troubleshooting', 'communication', 'interacted', 'logistics manager', 'maintained', 'high levels', 'resourceful', 'adaptability', 'logistics manager']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_115\Recommendation_From_ID_799.txt,"['team leadership', 'problem solve', 'certified personal', 'group fitness instructor', 'collaborating', 'logistics manager', 'operations', 'logistics', 'managing', 'communication skills', 'industry', 'managing', 'translates', 'collaboration', 'targets', 'positive', 'logistics', 'adaptable', 'professional', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_116\Recommendation_From_ID_149.txt,"['call center', 'organizational skill', 'employee satisfaction', 'proactive', 'sourcing', 'positions', 'effectively managed', 'onboarding', 'compile', 'maintain', 'reflects', 'positive']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_116\Recommendation_From_ID_172.txt,"['analytical skill', 'problem solve', 'professional', 'onboarding', 'managing', 'training programs', 'maintaining', 'operations', 'receive', 'communicate', 'positive', 'work environment', 'resourcefulness', 'proactive', 'human resources']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_117\Recommendation_From_ID_552.txt,"['asp net', 'information technology', 'front end', 'back end', 'operational efficiency', 'problem solve', 'web developer', 'manager', 'position', 'electronic', 'innovative', 'collaboration']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_117\Recommendation_From_ID_248.txt,"['asp net', 'information technology', 'technical support', 'asp net', 'development environment', 'web developer', 'collaborated', 'analytics', 'tools', 'innovative', 'instrumental', 'streamlining', 'professional', 'coupled']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_116\Recommendation_From_ID_319.txt,"['employee relation', 'analytical skill', 'professional', 'human resources', 'onboarding', 'communication', 'management', 'proactive', 'positive', 'maintain', 'professional development', 'coupled', 'resourceful', 'nature']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_117\Recommendation_From_ID_716.txt,"['asp net', 'software design', 'operational efficiency', 'creative problem solve', 'problem solve', 'practice manager', 'collaborating', 'web developer', 'innovative', 'tools', 'equity', 'electronic', 'streamlined', 'agility', 'personally', 'collaborative', 'professional', 'track']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_118\Recommendation_From_ID_144.txt,"['organizational skill', 'detail orient', 'problem solve', 'strategic thinking', 'creative', 'administrative support', 'communication', 'collaborating', 'coordination', 'execution', 'proactive', 'nature', 'streamlined', 'workflow', 'build relationships', 'curators', 'communication skills', 'event planning', 'professional']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_117\Recommendation_From_ID_114.txt,"['information technology', 'asp net', 'software development', 'problem solve', 'financial service', 'operational efficiency', 'leadership', 'web developer', 'infrastructure', 'collaboration', 'innovation', 'web developer', 'adaptability', 'proactive']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_117\Recommendation_From_ID_594.txt,"['information technology', 'asp net', 'asp net', 'software engineering', 'project management', 'leadership', 'collaborating', 'web developer', 'coldfusion', 'streamlined', 'database management', 'innovation', 'collaboration']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_118\Recommendation_From_ID_44.txt,"['customer service', 'customer satisfaction', 'employee engagement', 'operational efficiency', 'detail orient', 'customer service', 'project coordination', 'sales', 'centered', 'professional', 'human resource', 'communicate', 'team performance', 'streamlined', 'onboarding', 'proactive', 'sales', 'administrative support', 'managing communications', 'innovative', 'service excellence', 'sales']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_183.txt,"['human resource management', 'resource management', 'employee engagement', 'performance analysis', 'employee relation', 'manager', 'manage', 'operations', 'federal regulations', 'communication', 'managers', 'leadership', 'continuous improvement', 'human resource']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_949.txt,"['information technology', 'network infrastructure', 'employee relation', 'performance analysis', 'employee engagement', 'cross functional collaboration', 'leadership', 'manager', 'managing', 'workforce planning', 'manager', 'acting', 'communication', 'work environment', 'track', 'maintain', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_118\Recommendation_From_ID_814.txt,"['event management', 'community', 'collaborating', 'communication skills', 'community', 'operations', 'collaboration', 'filing system', 'operations', 'streamline', 'proactive', 'operations', 'coordinating', 'planning', 'community', 'activities', 'adds value', 'leadership', 'positively']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_118\Recommendation_From_ID_599.txt,"['public relation', 'detail orient', 'arts administrator', 'event planning', 'communications', 'coordinator', 'coordinated', 'managed communication', 'curators', 'managing contracts', 'maintaining', 'filing systems', 'operational', 'communication', 'collaborating', 'receive', 'professionalism', 'proactive', 'problem solving', 'work environment', 'professional', 'position', 'level']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_118\Recommendation_From_ID_395.txt,"['organizational skill', 'coordinator', 'professional', 'proactive', 'executed', 'streamline', 'filing systems', 'reflects', 'interactions', 'curators', 'inquiries', 'maintaining', 'communication', 'operational', 'instrumental', 'underscores', 'integrity', 'creativity']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_704.txt,"['information technology', 'employee engagement', 'employee relation', 'employee satisfaction', 'leadership', 'human resource', 'human resource', 'resource manager', 'track', 'managing', 'workforce planning', 'strategic planning', 'forge', 'communicate', 'objectives sets', 'management']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_116\Recommendation_From_ID_557.txt,"['income tax', 'organizational skill', 'analytical skill', 'San', 'finance', 'finance', 'position', 'accounting', 'government', 'auditing', 'budget', 'management', 'finance', 'acting', 'finances', 'collections', 'financial reporting', 'human resources', 'communication', 'onboarding', 'finance', 'finance', 'finance', 'budget', 'management', 'communication']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_730.txt,"['employee engagement', 'employee relation', 'human capital', 'cross functional collaboration', 'seasoned', 'project manager', 'manager', 'leadership', 'communication skills', 'effectively managing', 'operations', 'project manager', 'motivated teams', 'manager', 'collaboration', 'project manager']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_425.txt,"['employee engagement', 'employee relation', 'information technology', 'strategic planning', 'human resource', 'human resource', 'resource manager', 'management', 'multi state', 'mitigate risks', 'positive', 'work environment', 'manager', 'communication', 'operational', 'manager', 'managing workforce', 'leadership']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_119\Recommendation_From_ID_199.txt,"['operation research', 'project management', 'project management process', 'management process', 'process improvement', 'employee engagement', 'strategic planning', 'performance analysis', 'team leadership', 'career managing', 'professional', 'building relationships', 'stakes', 'detection equipment', 'collaboration', 'community', 'manager', 'equally', 'human resources', 'leadership', 'communication skills', 'managing', 'professionals', 'managing teams', 'manager', 'effective team', 'human resource']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_121\Recommendation_From_ID_220.txt,"['information technology', 'technology strategy', 'asset management', 'analytics', 'cybersecurity', 'system administrator', 'maintaining', 'system administrator', 'server management', 'adapt', 'reflects', 'system administrator', 'proactive', 'troubleshooting', 'security protocols', 'landscape']"
./Final_Recommendation_Letters\Recommendation_Letters_of_ID_12\Recommendation_From_ID_202.txt,"['revenue growth', 'account management', 'customer support', 'account manager', 'managing', 'customer relationships', 'banking', 'cross functional teams', 'executed', 'advisory', 'manager', 'landscapes', 'oracle sql', 'account manager', 'professional development', 'sales', 'yielded']"
